property_id,location,property_type,area_sqft,road_width_ft,distance_from_city_center_km,property_age_years,price_inr
GKP0100,Betiahata,House,2980,60,3.5,12,18840000
GKP0101,Gida,Residential Plot,1011,15,10.0,0,1810000
GKP0102,Sahjanwa,Residential Plot,3393,12,5.6,0,4960000
GKP0103,Sahjanwa,Residential Plot,4650,10,9.8,0,6390000
GKP0104,Rapti Nagar,House,1444,25,15.7,10,5650000
GKP0105,Golghar,Residential Plot,3471,15,12.5,0,15980000
GKP0106,Padri Bazar,House,2437,60,16.5,11,9150000
GKP0107,Gida,Agricultural Land,25956,20,11.9,0,18900000
GKP0108,Rustampur,Commercial Property,1778,20,3.4,9,7010000
GKP0109,Naushad,Residential Plot,4305,10,8.0,0,6310000
GKP0110,Khorabar,Residential Plot,892,30,1.3,0,2240000
GKP0111,Mohaddipur,Residential Plot,4369,30,13.6,0,15060000
GKP0112,Rapti Nagar,Residential Plot,2808,60,21.9,0,10070000
GKP0113,Sahjanwa,House,1726,30,9.1,4,3900000
GKP0114,Kunraghat,Residential Plot,647,30,4.4,0,1610000
GKP0115,Gida,Commercial Property,4626,60,18.6,25,16380000
GKP0116,Golghar,Residential Plot,2813,20,9.2,0,12670000
GKP0117,Chargawan,House,3193,20,4.2,14,6870000
GKP0118,Rustampur,Residential Plot,4592,25,7.1,0,12130000
GKP0119,Rustampur,House,3087,10,6.1,15,10540000
GKP0120,Medical College Road,House,2535,18,17.0,20,6840000
GKP0121,Mohaddipur,Residential Plot,3872,20,8.1,0,15490000
GKP0122,Khorabar,Commercial Property,2568,40,11.6,17,10030000
GKP0123,Khorabar,Commercial Property,3060,18,11.5,9,10060000
GKP0124,Gida,Residential Plot,1062,60,14.2,0,2240000
GKP0125,Naushad,Residential Plot,1992,12,1.5,0,3690000
GKP0126,Mohaddipur,Residential Plot,2572,12,1.2,0,9160000
GKP0127,Golghar,Commercial Property,2771,30,14.0,16,22370000
GKP0128,Transport Nagar,Commercial Property,3359,20,21.2,23,10920000
GKP0129,Mohaddipur,Commercial Property,648,20,10.2,2,4220000
GKP0130,Mohaddipur,House,2076,10,7.1,30,8660000
GKP0131,Transport Nagar,Commercial Property,3294,10,1.9,9,13870000
GKP0132,Medical College Road,House,3588,40,21.5,30,10770000
GKP0133,Sahjanwa,Commercial Property,3354,12,17.8,2,8420000
GKP0134,Golghar,Commercial Property,1420,10,2.0,0,11850000
GKP0135,Kunraghat,House,3217,25,19.2,22,9290000
GKP0136,Padri Bazar,Commercial Property,2094,60,14.1,1,10780000
GKP0137,Rustampur,Residential Plot,4788,20,15.2,0,10090000
GKP0138,Padri Bazar,Agricultural Land,13837,25,6.0,0,12900000
GKP0139,Mohaddipur,Residential Plot,4031,40,7.3,0,17680000
GKP0140,Sahjanwa,Residential Plot,2346,20,4.9,0,3170000
GKP0141,Naushad,Residential Plot,2579,30,18.0,0,4710000
GKP0142,Betiahata,Residential Plot,1904,20,13.1,0,7940000
GKP0143,Rapti Nagar,Commercial Property,3753,10,20.2,15,14940000
GKP0144,Kunraghat,Residential Plot,1053,18,2.4,0,2450000
GKP0145,Golghar,House,758,25,8.2,29,4340000
GKP0146,Naushad,Commercial Property,4809,20,7.0,13,14180000
GKP0147,Kunraghat,Residential Plot,1634,60,12.1,0,5310000
GKP0148,Naushad,House,2746,10,6.1,20,5180000
GKP0149,Khorabar,Residential Plot,2127,40,6.9,0,5140000
GKP0150,Rustampur,Commercial Property,4023,18,11.0,16,17150000
GKP0151,Golghar,Commercial Property,3471,60,17.5,17,30350000
GKP0152,Rapti Nagar,Residential Plot,3074,18,21.1,0,7870000
GKP0153,Betiahata,House,1161,60,3.2,1,7880000
GKP0154,Transport Nagar,Residential Plot,3117,10,10.6,0,6870000
GKP0155,Padri Bazar,Residential Plot,1975,40,9.1,0,4320000
GKP0156,Medical College Road,House,2183,60,9.3,6,10410000
GKP0157,Khorabar,Residential Plot,1876,12,19.1,0,2940000
GKP0158,Medical College Road,House,2377,15,10.1,0,9470000
GKP0159,Gida,Residential Plot,4302,15,6.1,0,7740000
GKP0160,Khorabar,House,1800,30,20.5,7,4320000
GKP0161,Khorabar,House,3551,12,2.0,22,8010000
GKP0162,Rapti Nagar,Agricultural Land,5425,10,5.0,0,5270000
GKP0163,Rapti Nagar,House,1065,15,13.0,14,3770000
GKP0164,Mohaddipur,Residential Plot,4338,15,14.0,0,13450000
GKP0165,Chargawan,Commercial Property,4978,15,20.3,22,11010000
GKP0166,Rustampur,House,3702,10,18.1,30,8680000
GKP0167,Kunraghat,Commercial Property,831,15,9.7,15,2900000
GKP0168,Rustampur,Residential Plot,4393,10,8.3,0,9430000
GKP0169,Mohaddipur,Commercial Property,1077,30,16.5,21,5700000
GKP0170,Medical College Road,House,3637,12,4.0,7,14120000
GKP0171,Taramandal,House,1270,60,1.1,3,6850000
GKP0172,Golghar,House,3978,12,19.8,12,24900000
GKP0173,Sahjanwa,House,2469,15,2.1,5,5180000
GKP0174,Medical College Road,House,1672,40,1.4,30,6260000
GKP0175,Rapti Nagar,Agricultural Land,9244,40,13.8,0,11390000
GKP0176,Rustampur,Residential Plot,3908,30,16.2,0,10060000
GKP0177,Khorabar,Agricultural Land,23478,12,11.8,0,14980000
GKP0178,Sahjanwa,Commercial Property,1984,18,3.0,13,5250000
GKP0179,Sahjanwa,Residential Plot,1304,30,4.1,0,2350000
GKP0180,Rustampur,Residential Plot,1385,60,20.2,0,3820000
GKP0181,Chargawan,House,3604,25,9.0,22,7800000
GKP0182,Naushad,Commercial Property,3368,20,13.0,19,7370000
GKP0183,Padri Bazar,Agricultural Land,21886,40,17.8,0,17020000
GKP0184,Taramandal,Commercial Property,1260,10,21.6,11,5310000
GKP0185,Chargawan,Agricultural Land,22422,25,7.7,0,15950000
GKP0186,Kunraghat,House,1969,10,20.6,12,5350000
GKP0187,Betiahata,Residential Plot,2087,18,9.3,0,7210000
GKP0188,Khorabar,House,1237,18,21.1,1,2980000
GKP0189,Rapti Nagar,Commercial Property,765,40,6.8,15,3830000
GKP0190,Transport Nagar,House,1313,20,6.4,1,3980000
GKP0191,Taramandal,Agricultural Land,16000,15,11.4,0,16030000
GKP0192,Betiahata,Residential Plot,1195,15,17.1,0,4500000
GKP0193,Padri Bazar,Agricultural Land,27345,25,21.0,0,18430000
GKP0194,Transport Nagar,Residential Plot,4742,15,12.6,0,9240000
GKP0195,Chargawan,House,3491,20,4.5,12,7770000
GKP0196,Sahjanwa,Commercial Property,1053,25,16.4,9,2350000
GKP0197,Chargawan,Residential Plot,2233,10,17.2,0,3220000
GKP0198,Padri Bazar,Agricultural Land,14029,12,19.8,0,8920000
GKP0199,Kunraghat,Commercial Property,1543,12,9.7,16,5520000
GKP0200,Rapti Nagar,Commercial Property,1452,40,19.4,3,7460000
GKP0201,Golghar,Residential Plot,2936,15,4.4,0,16290000
GKP0202,Rustampur,Agricultural Land,3083,30,11.9,0,3080000
GKP0203,Sahjanwa,House,2448,18,3.8,25,3850000
GKP0204,Rapti Nagar,House,3843,60,4.4,25,17780000
GKP0205,Transport Nagar,Residential Plot,1514,40,3.5,0,4660000
GKP0206,Taramandal,Residential Plot,4628,25,10.8,0,14260000
GKP0207,Gida,Residential Plot,2940,40,18.2,0,6060000
GKP0208,Transport Nagar,House,3470,40,8.2,4,11690000
GKP0209,Naushad,Residential Plot,851,40,14.1,0,1630000
GKP0210,Betiahata,Residential Plot,4092,12,10.2,0,15530000
GKP0211,Naushad,Residential Plot,3032,60,6.9,0,5930000
GKP0212,Kunraghat,Residential Plot,2616,18,14.3,0,5780000
GKP0213,Rapti Nagar,Agricultural Land,20487,15,16.2,0,20140000
GKP0214,Khorabar,House,2878,20,21.0,2,7180000
GKP0215,Golghar,House,1285,40,1.8,30,8600000
GKP0216,Khorabar,Commercial Property,4495,60,12.2,7,20440000
GKP0217,Rapti Nagar,Agricultural Land,11167,30,16.5,0,12090000
GKP0218,Kunraghat,House,1193,25,20.0,22,3170000
GKP0219,Gida,House,2029,30,10.2,10,4810000
GKP0220,Sahjanwa,Residential Plot,2029,30,14.8,0,3120000
GKP0221,Khorabar,Residential Plot,686,40,17.3,0,1620000
GKP0222,Rapti Nagar,Residential Plot,4619,30,3.7,0,14250000
GKP0223,Padri Bazar,Residential Plot,1210,15,20.1,0,2070000
GKP0224,Mohaddipur,House,2502,30,13.8,21,10760000
GKP0225,Transport Nagar,House,911,30,9.4,9,3180000
GKP0226,Transport Nagar,Residential Plot,2973,18,19.4,0,6340000
GKP0227,Kunraghat,Agricultural Land,14986,40,7.8,0,16190000
GKP0228,Chargawan,House,2161,40,6.1,19,6000000
GKP0229,Kunraghat,Agricultural Land,11533,40,21.5,0,11530000
GKP0230,Transport Nagar,Commercial Property,3894,20,10.6,2,14770000
GKP0231,Betiahata,Residential Plot,3437,15,13.3,0,12020000
GKP0232,Rustampur,Residential Plot,3493,40,19.1,0,8500000
GKP0233,Kunraghat,Residential Plot,633,20,18.6,0,1280000
GKP0234,Padri Bazar,Commercial Property,3143,12,22.0,3,9270000
GKP0235,Kunraghat,Residential Plot,716,18,14.0,0,1800000
GKP0236,Khorabar,Residential Plot,4916,60,17.6,0,11400000
GKP0237,Rapti Nagar,Agricultural Land,9037,25,3.3,0,11700000
GKP0238,Golghar,House,1282,20,11.5,15,8390000
GKP0239,Padri Bazar,Agricultural Land,20623,10,11.8,0,14100000
GKP0240,Transport Nagar,Commercial Property,855,15,10.7,25,2650000
GKP0241,Khorabar,Residential Plot,2222,30,8.4,0,5210000
GKP0242,Mohaddipur,Commercial Property,4211,18,7.8,24,23680000
GKP0243,Mohaddipur,House,3345,60,4.0,6,25200000
GKP0244,Naushad,Residential Plot,1022,15,2.4,0,1520000
GKP0245,Golghar,Residential Plot,982,18,17.3,0,4000000
GKP0246,Kunraghat,Commercial Property,3366,12,4.1,8,14900000
GKP0247,Khorabar,House,3417,40,2.9,14,10560000
GKP0248,Golghar,Residential Plot,3847,15,11.6,0,19240000
GKP0249,Padri Bazar,House,1720,18,5.4,11,5200000
GKP0250,Rustampur,Residential Plot,3943,10,4.7,0,9100000
GKP0251,Taramandal,Residential Plot,4222,30,3.9,0,15200000
GKP0252,Transport Nagar,House,3729,12,21.5,12,10580000
GKP0253,Naushad,Residential Plot,3316,12,14.8,0,4720000
GKP0254,Rustampur,House,3125,20,18.4,23,8960000
GKP0255,Sahjanwa,Residential Plot,716,60,11.2,0,1250000
GKP0256,Betiahata,Residential Plot,1737,30,18.4,0,6730000
GKP0257,Rapti Nagar,Residential Plot,2296,12,7.6,0,6570000
GKP0258,Gida,House,3486,18,5.5,2,10130000
GKP0259,Taramandal,House,3268,40,10.9,5,15850000
GKP0260,Naushad,Agricultural Land,15816,10,5.5,0,9970000
GKP0261,Sahjanwa,House,1345,12,3.1,0,2650000
GKP0262,Medical College Road,Residential Plot,2460,10,19.1,0,5580000
GKP0263,Rapti Nagar,Residential Plot,1675,10,8.5,0,4420000
GKP0264,Naushad,Residential Plot,3286,40,20.5,0,5070000
GKP0265,Naushad,Residential Plot,823,12,14.0,0,1130000
GKP0266,Rapti Nagar,Commercial Property,4307,40,12.0,2,27790000
GKP0267,Sahjanwa,Residential Plot,794,10,20.9,0,1010000
GKP0268,Khorabar,Commercial Property,4648,40,11.5,4,18500000
GKP0269,Transport Nagar,Agricultural Land,28826,18,9.3,0,25420000
GKP0270,Gida,Residential Plot,1163,12,3.2,0,2340000
GKP0271,Rapti Nagar,House,2606,30,10.1,11,10980000
GKP0272,Sahjanwa,Agricultural Land,24656,60,9.2,0,16980000
GKP0273,Khorabar,House,2188,20,14.8,11,5640000
GKP0274,Kunraghat,Residential Plot,2011,10,3.0,0,4510000
GKP0275,Kunraghat,Commercial Property,4852,40,12.8,10,22960000
GKP0276,Rustampur,Residential Plot,2915,40,20.5,0,7780000
GKP0277,Medical College Road,Residential Plot,3544,25,9.2,0,10940000
GKP0278,Transport Nagar,House,3931,25,15.3,0,13160000
GKP0279,Taramandal,Residential Plot,2076,30,18.9,0,6310000
GKP0280,Rustampur,Residential Plot,2649,25,7.9,0,7600000
GKP0281,Padri Bazar,Residential Plot,4344,25,6.7,0,8970000
GKP0282,Sahjanwa,House,3257,20,21.3,6,6470000
GKP0283,Padri Bazar,Residential Plot,4365,60,19.4,0,10700000
GKP0284,Golghar,Residential Plot,2315,40,11.1,0,13370000
GKP0285,Betiahata,House,3942,18,8.8,28,16560000
GKP0286,Medical College Road,Commercial Property,856,40,7.0,5,4470000
GKP0287,Mohaddipur,Residential Plot,4447,60,10.7,0,21970000
GKP0288,Gida,Residential Plot,3357,30,8.9,0,6820000
GKP0289,Rapti Nagar,House,832,20,5.5,29,2520000
GKP0290,Golghar,Residential Plot,1429,12,20.9,0,6050000
GKP0291,Medical College Road,Commercial Property,2250,15,14.7,25,8720000
GKP0292,Medical College Road,House,1887,12,1.8,13,6820000
GKP0293,Sahjanwa,Agricultural Land,15920,60,1.8,0,12760000
GKP0294,Golghar,Agricultural Land,11147,18,20.7,0,20340000
GKP0295,Taramandal,Residential Plot,1844,10,18.5,0,4610000
GKP0296,Mohaddipur,Agricultural Land,17442,40,9.3,0,27610000
GKP0297,Golghar,Residential Plot,1357,60,7.5,0,8350000
GKP0298,Gida,Agricultural Land,10723,12,19.2,0,6880000
GKP0299,Medical College Road,Commercial Property,896,25,20.8,25,2960000
GKP0300,Chargawan,Commercial Property,1711,18,19.9,14,4720000
GKP0301,Golghar,Commercial Property,3892,20,9.1,12,30700000
GKP0302,Sahjanwa,Residential Plot,1102,10,2.6,0,1730000
GKP0303,Mohaddipur,Agricultural Land,15044,40,1.7,0,23600000
GKP0304,Betiahata,Residential Plot,1843,60,5.6,0,9610000
GKP0305,Betiahata,Agricultural Land,28277,10,2.0,0,38780000
GKP0306,Rustampur,Residential Plot,1253,12,12.9,0,3210000
GKP0307,Rustampur,House,2473,12,17.8,24,6640000
GKP0308,Betiahata,Agricultural Land,26332,12,2.9,0,36520000
GKP0309,Kunraghat,House,2749,40,17.2,29,8000000
GKP0310,Kunraghat,Residential Plot,3312,15,14.7,0,7610000
GKP0311,Rapti Nagar,Residential Plot,2513,30,4.5,0,8990000
GKP0312,Mohaddipur,Residential Plot,4218,10,11.5,0,14620000
GKP0313,Taramandal,House,2377,60,11.2,8,12710000
GKP0314,Naushad,Residential Plot,2456,30,5.8,0,4610000
GKP0315,Golghar,Residential Plot,3231,60,10.8,0,22860000
GKP0316,Khorabar,Residential Plot,2692,40,14.6,0,6400000
GKP0317,Chargawan,House,2205,12,14.3,19,4160000
GKP0318,Chargawan,House,3268,60,8.8,20,8900000
GKP0319,Transport Nagar,Commercial Property,2036,10,10.7,13,6710000
GKP0320,Padri Bazar,Commercial Property,1943,18,14.2,3,7220000
GKP0321,Rapti Nagar,Agricultural Land,22776,15,3.3,0,28050000
GKP0322,Chargawan,Residential Plot,1279,18,12.1,0,2320000
GKP0323,Khorabar,Commercial Property,1096,40,8.5,18,3950000
GKP0324,Rapti Nagar,Residential Plot,2312,15,7.5,0,5940000
GKP0325,Mohaddipur,Commercial Property,2886,10,11.1,3,18740000
GKP0326,Golghar,Commercial Property,3816,20,18.2,5,28570000
GKP0327,Kunraghat,Residential Plot,2187,15,9.2,0,4750000
GKP0328,Gida,Commercial Property,1121,12,3.7,8,3430000
GKP0329,Khorabar,Residential Plot,4386,18,6.0,0,9550000
GKP0330,Taramandal,House,3769,25,19.2,19,15180000
GKP0331,Gida,Agricultural Land,19565,40,17.6,0,14430000
GKP0332,Naushad,Residential Plot,3726,10,11.0,0,5770000
GKP0333,Gida,House,2044,20,18.6,23,3690000
GKP0334,Mohaddipur,Commercial Property,1358,40,21.9,1,9940000
GKP0335,Medical College Road,Residential Plot,4516,12,6.6,0,12280000
GKP0336,Sahjanwa,Agricultural Land,14660,18,12.7,0,7310000
GKP0337,Rustampur,Residential Plot,1347,30,20.9,0,3190000
GKP0338,Taramandal,Commercial Property,314,30,4.7,17,1810000
GKP0339,Rapti Nagar,Residential Plot,4654,60,3.9,0,19180000
GKP0340,Transport Nagar,Residential Plot,4184,60,21.3,0,10690000
GKP0341,Khorabar,House,3954,30,17.3,13,11090000
GKP0342,Rustampur,Residential Plot,3847,40,5.5,0,10110000
GKP0343,Golghar,Agricultural Land,18422,40,5.4,0,41980000
GKP0344,Taramandal,Commercial Property,3908,12,16.7,2,18600000
GKP0345,Kunraghat,Residential Plot,1360,12,9.6,0,3120000
GKP0346,Padri Bazar,House,3544,30,21.6,22,8450000
GKP0347,Betiahata,Agricultural Land,13890,10,16.3,0,19480000
GKP0348,Rustampur,Residential Plot,2422,20,5.2,0,5800000
GKP0349,Sahjanwa,Residential Plot,2641,12,20.1,0,3570000
GKP0350,Padri Bazar,Residential Plot,3246,15,6.3,0,6190000
GKP0351,Taramandal,Residential Plot,4753,60,18.8,0,17150000
GKP0352,Rustampur,Residential Plot,974,12,14.4,0,2390000
GKP0353,Rapti Nagar,Agricultural Land,8695,25,18.8,0,8500000
GKP0354,Chargawan,Residential Plot,4377,40,7.4,0,9150000
GKP0355,Golghar,Residential Plot,3944,12,20.7,0,18050000
GKP0356,Padri Bazar,House,887,12,16.6,27,2070000
GKP0357,Gida,Commercial Property,3219,18,6.0,7,10140000
GKP0358,Medical College Road,House,2367,40,17.5,18,9330000
GKP0359,Kunraghat,Residential Plot,4007,30,15.2,0,9910000
GKP0360,Padri Bazar,Commercial Property,1186,60,16.2,11,5580000
GKP0361,Rapti Nagar,Residential Plot,4931,18,11.0,0,15430000
GKP0362,Betiahata,Residential Plot,3229,18,19.4,0,10590000
GKP0363,Gida,Residential Plot,4067,25,19.6,0,6700000
GKP0364,Transport Nagar,Commercial Property,1275,15,14.8,8,4900000
GKP0365,Betiahata,Residential Plot,2604,12,16.0,0,9220000
GKP0366,Betiahata,Residential Plot,2781,20,19.2,0,8690000
GKP0367,Kunraghat,Residential Plot,2432,60,2.1,0,8620000
GKP0368,Golghar,Commercial Property,1511,30,19.6,5,11950000
GKP0369,Golghar,Commercial Property,2797,15,5.8,20,18590000
GKP0370,Kunraghat,Commercial Property,4805,25,16.6,2,20080000
GKP0371,Medical College Road,House,2271,25,5.2,1,10350000
GKP0372,Chargawan,Residential Plot,4172,60,4.0,0,11010000
GKP0373,Golghar,Agricultural Land,21307,60,8.0,0,49340000
GKP0374,Khorabar,Residential Plot,1532,12,2.5,0,3520000
GKP0375,Medical College Road,Residential Plot,732,12,18.4,0,1780000
GKP0376,Medical College Road,House,3256,40,14.4,12,12760000
GKP0377,Transport Nagar,House,3052,18,10.8,21,7610000
GKP0378,Sahjanwa,Residential Plot,4105,18,6.2,0,6480000
GKP0379,Rapti Nagar,Residential Plot,4793,30,19.0,0,12270000
GKP0380,Naushad,Residential Plot,3966,30,15.5,0,7270000
GKP0381,Rustampur,Residential Plot,4934,25,7.1,0,13240000
GKP0382,Khorabar,House,2752,25,3.8,4,8890000
GKP0383,Betiahata,House,2927,10,10.4,18,13030000
GKP0384,Sahjanwa,Residential Plot,981,15,16.6,0,1200000
GKP0385,Sahjanwa,Commercial Property,2480,10,10.9,14,5430000
GKP0386,Padri Bazar,House,3081,60,12.1,28,9600000
GKP0387,Gida,Commercial Property,864,18,11.1,1,3010000
GKP0388,Gida,House,2539,60,10.5,14,7150000
GKP0389,Transport Nagar,Residential Plot,1233,10,1.0,0,2890000
GKP0390,Kunraghat,Commercial Property,3916,10,13.0,18,12390000
GKP0391,Medical College Road,Residential Plot,4741,18,7.9,0,13170000
GKP0392,Betiahata,Residential Plot,1874,30,5.8,0,8790000
GKP0393,Transport Nagar,Commercial Property,2651,40,22.0,12,9560000
GKP0394,Mohaddipur,Residential Plot,1862,30,13.2,0,7930000
GKP0395,Rustampur,Agricultural Land,5952,20,14.4,0,5880000
GKP0396,Sahjanwa,Residential Plot,4705,18,18.5,0,5870000
GKP0397,Gida,House,1497,20,20.0,30,2930000
GKP0398,Transport Nagar,Residential Plot,766,15,12.5,0,1680000
GKP0399,Rapti Nagar,House,2368,18,16.7,12,7930000
GKP0400,Sahjanwa,Residential Plot,2055,18,18.9,0,2640000
GKP0401,Rapti Nagar,Residential Plot,1061,30,12.6,0,2840000
GKP0402,Transport Nagar,Residential Plot,1992,15,6.8,0,4050000
GKP0403,Betiahata,Residential Plot,4662,25,1.5,0,21560000
GKP0404,Medical College Road,House,1212,20,10.3,7,3980000
GKP0405,Sahjanwa,Agricultural Land,24675,12,4.8,0,14840000
GKP0406,Taramandal,House,2950,60,14.9,4,16730000
GKP0407,Rustampur,House,3867,40,7.3,29,12580000
GKP0408,Gida,Residential Plot,3858,15,2.0,0,6960000
GKP0409,Gida,Residential Plot,3730,15,14.5,0,6430000
GKP0410,Sahjanwa,Commercial Property,2754,12,3.2,21,5990000
GKP0411,Mohaddipur,House,2993,12,5.7,7,14700000
GKP0412,Taramandal,Residential Plot,966,12,18.3,0,2910000
GKP0413,Sahjanwa,Agricultural Land,8436,20,20.4,0,4640000
GKP0414,Taramandal,Residential Plot,4442,30,21.4,0,14480000
